Name,Height
Michael Aspel,5ft 9 (175cm)
Jennifer Aspen,5ft 4 (163cm)
Josefin Asplund,5ft 6 ½ (169cm)
Julian Assange,6ft 2 (188cm)
Armand Assante,5ft 9 ½ (177cm)
Fred Astaire,5ft 9 (175cm)
Ari Aster,5ft 6 (168cm)
John Astin,5ft 11 (180cm)
Sean Astin,5ft 6 ¼ (168cm)
Skylar Astin,5ft 8 ¾ (175cm)
Rick Astley,5ft 9 (175cm)
Sam Aston,5ft 5 ¼ (166cm)
Gertrude Astor,5ft 7 ½ (171cm)
Mary Astor,5ft 5 ½ (166cm)
 Asuka,5ft 2 ½ (159cm)
Emily Atack,5ft 6 (168cm)
William Atherton,6ft 0 (183cm)
Moran Atias,5ft 9 (175cm)
Shani Atias,5ft 7 (170cm)
Aure Atika,5ft 8 (173cm)
Sheila Atim,5ft 11 ½ (182cm)
Victoria Atkin,5ft 4 (163cm)
Christopher Atkins,5ft 10 (178cm)
Eileen Atkins,5ft 6 ½ (169cm)
Emma Atkins,5ft 6 (168cm)
Essence Atkins,5ft 1 ¾ (157cm)
Lexi Atkins,5ft 7 (170cm)
Sharif Atkins,6ft  ¼ in (184cm)
Tom Atkins,5ft 10 ¾ (180cm)
Dorothy Atkinson,5ft 1 ¾ (157cm)
Gemma Atkinson,5ft 9 (175cm)
Jayne Atkinson,5ft 6 (168cm)
Kate Atkinson,5ft 2 (157cm)
Kerith Atkinson,5ft 2 (157cm)
Rebecca Atkinson,5ft 6 (168cm)
Ron Atkinson,6ft 0 (183cm)
Rowan Atkinson,5ft 11 ¼ (181cm)
David Attenborough,5ft 10 (178cm)
Richard Attenborough,5ft 6 ½ (169cm)
Taj Atwal,5ft 4 (163cm)
Hayley Atwell,5ft 6 (168cm)
Roman Atwood,5ft 8 (173cm)
Rene Auberjonois,6ft 0 (183cm)
K.D. Aubert,5ft 9 (175cm)
Juliet Aubrey,5ft 8 (173cm)
Tony Audenshaw,5ft 8 (173cm)
Nadja Auermann,5ft 10 ¾ (180cm)
Claudine Auger,5ft 8 (173cm)
Alvina August,5ft 7 (170cm)
Pernilla August,5ft 4 (163cm)
Scott Aukerman,6ft 2 ½ (189cm)
Tina Aumont,5ft 6 (168cm)
Alana Austin,5ft 7 (170cm)
Coco Austin,5ft 1 ½ (156cm)
Mark Austin,6ft 3 (191cm)
Sherrie Austin,5ft 2 (157cm)
Sophie Austin,5ft 6 (168cm)
Stone Cold Steve Austin,6ft 1 ¼ (186cm)
Tracy Austin,5ft 4 (163cm)
Selah Austria,5ft 4 (163cm)
Daniel Auteuil,5ft 6 ¾ (170cm)
Emilie Autumn,5ft 4 (163cm)
Frankie Avalon,5ft 6 (168cm)
Erick Avari,5ft 8 ¼ (173cm)
Electra Avellan,5ft 4 ½ (164cm)
Elise Avellan,5ft 5 ½ (166cm)
James Avery,6ft 4 ½ (194cm)
Sloane Avery,5ft 1 (155cm)
Marie Avgeropoulos,5ft 5 (165cm)
 Avicii,5ft 10 (178cm)
Mili Avital,5ft 4 (163cm)
 Awkwafina,5ft 1 (155cm)
Nicki Aycox,5ft 4 (163cm)
Dan Aykroyd,6ft 1 (185cm)
Reiko Aylesworth,5ft 4 (163cm)
Richard Ayoade,6ft 1 ½ (187cm)
Ana Ayora,5ft 5 ½ (166cm)
Deborah Ayorinde,5ft 3 ½ (161cm)
Benjamin Ayres,6ft 2 (188cm)
Lew Ayres,5ft 9 ½ (177cm)
Rochelle Aytes,5ft 6 (168cm)
Afshan Azad,5ft 4 ¾ (164cm)
Iggy Azalea,5ft 9 ½ (177cm)
Victoria Azarenka,5ft 11 (180cm)
Hank Azaria,5ft 11 (180cm)
Valerie Azlynn,5ft 9 (175cm)
